car_ID,symboling,CarName,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,price
1,Risky,alfa-romero giulia,front,88.6,168.8,64.1,48.8,2548,NormalPerf,130,FuelInjected,3.47,2.68,9,111,5000,21,13495
2,Risky,alfa-romero stelvio,front,88.6,168.8,64.1,48.8,2548,NormalPerf,130,FuelInjected,3.47,2.68,9,111,5000,21,16500
3,Risky,alfa-romero Quadrifoglio,front,94.5,171.2,65.5,52.4,2823,HighPerf,152,FuelInjected,2.68,3.47,9,154,5000,19,16500
4,Risky,audi 100 ls,front,99.8,176.6,66.2,54.3,2337,NormalPerf,109,FuelInjected,3.19,3.4,10,102,5500,24,13950
5,Risky,audi 100ls,front,99.4,176.6,66.4,54.3,2824,NormalPerf,136,FuelInjected,3.19,3.4,8,115,5500,18,17450
6,Risky,audi fox,front,99.8,177.3,66.3,53.1,2507,NormalPerf,136,FuelInjected,3.19,3.4,8.5,110,5500,19,15250
7,Risky,audi 100ls,front,105.8,192.7,71.4,55.7,2844,NormalPerf,136,FuelInjected,3.19,3.4,8.5,110,5500,19,17710
8,Risky,audi 5000,front,105.8,192.7,71.4,55.7,2954,NormalPerf,136,FuelInjected,3.19,3.4,8.5,110,5500,19,18920
9,Risky,audi 4000,front,105.8,192.7,71.4,55.9,3086,NormalPerf,131,FuelInjected,3.13,3.4,8.3,140,5500,17,23875
10,Safe,audi 5000s (diesel),front,99.5,178.2,67.9,52,3053,NormalPerf,131,FuelInjected,3.13,3.4,7,160,5500,16,17859.167
11,Risky,bmw 320i,front,101.2,176.8,64.8,54.3,2395,NormalPerf,108,FuelInjected,3.5,2.8,8.8,101,5800,23,16430
12,Safe,bmw 320i,front,101.2,176.8,64.8,54.3,2395,NormalPerf,108,FuelInjected,3.5,2.8,8.8,101,5800,23,16925
13,Safe,bmw x1,front,101.2,176.8,64.8,54.3,2710,HighPerf,164,FuelInjected,3.31,3.19,9,121,4250,21,20970
14,Safe,bmw x3,front,101.2,176.8,64.8,54.3,2765,HighPerf,164,FuelInjected,3.31,3.19,9,121,4250,21,21105
15,Risky,bmw z4,front,103.5,189,66.9,55.7,3055,HighPerf,164,FuelInjected,3.31,3.19,9,121,4250,20,24565
16,Safe,bmw x4,front,103.5,189,66.9,55.7,3230,HighPerf,209,FuelInjected,3.62,3.39,8,182,5400,16,30760
17,Safe,bmw x5,front,103.5,193.8,67.9,53.7,3380,HighPerf,209,FuelInjected,3.62,3.39,8,182,5400,16,41315
18,Safe,bmw x3,front,110,197,70.9,56.3,3505,HighPerf,209,FuelInjected,3.62,3.39,8,182,5400,15,36880
19,Risky,chevrolet impala,front,88.4,141.1,60.3,53.2,1488,NormalPerf,61,Carbureted,2.91,3.03,9.5,48,5100,47,5151
20,Risky,chevrolet monte carlo,front,94.5,155.9,63.6,52,1874,NormalPerf,90,Carbureted,3.03,3.11,9.6,70,5400,38,6295
21,Safe,chevrolet vega 2300,front,94.5,158.8,63.6,52,1909,NormalPerf,90,Carbureted,3.03,3.11,9.6,70,5400,38,6575
22,Risky,dodge rampage,front,93.7,157.3,63.8,50.8,1876,NormalPerf,90,Carbureted,2.97,3.23,9.41,68,5500,37,5572
23,Risky,dodge challenger se,front,93.7,157.3,63.8,50.8,1876,NormalPerf,90,Carbureted,2.97,3.23,9.4,68,5500,31,6377
24,Risky,dodge d200,front,93.7,157.3,63.8,50.8,2128,NormalPerf,98,FuelInjected,3.03,3.39,7.6,102,5500,24,7957
25,Risky,dodge monaco (sw),front,93.7,157.3,63.8,50.6,1967,NormalPerf,90,Carbureted,2.97,3.23,9.4,68,5500,31,6229
26,Risky,dodge colt hardtop,front,93.7,157.3,63.8,50.6,1989,NormalPerf,90,Carbureted,2.97,3.23,9.4,68,5500,31,6692
27,Risky,dodge colt (sw),front,93.7,157.3,63.8,50.6,1989,NormalPerf,90,Carbureted,2.97,3.23,9.4,68,5500,31,7609
28,Risky,dodge coronet custom,front,93.7,157.3,63.8,50.6,2191,NormalPerf,98,FuelInjected,3.03,3.39,7.6,102,5500,24,8558
29,Safe,dodge dart custom,front,103.3,174.6,64.6,59.8,2535,NormalPerf,122,Carbureted,3.34,3.46,8.5,88,5000,24,8921
